Region,County,Town,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,Factory_cnt_102,Factory_cnt_103,Factory_cnt_104,Factory_employee_102,Factory_employee_103,Factory_employee_104,Factory_to_102,Factory_to_103,Factory_to_104,To_employee_102,To_employee_103,To_employee_104,To_factory_102,To_factory_103,To_factory_104,
A100080703,南投縣,鹿谷鄉,395017.54,354685.84,398293.96,386256.05,398404.27,385891.46,388884.64,385894.66,376894.90,391868.90,364378.20,367162.94,378635.9289,332058.897,405344.9792,388791.8096,382351.1254,364073.8902,377496.0088,364791.318,346429.2691,356546.2506,348313.3394,394677.5655,375950.49,343370.28,385221.39,384123.28,372231.74,352717.66,371125.86,383173.78,358230.17,370612.05,360178.42,380519.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080706,南投縣,鹿谷鄉,729594.36,669696.23,749323.12,724080.56,754479.56,748333.93,788941.80,787690.60,726487.18,731169.22,633376.52,523187.90,478568.5414,429453.9153,502984.0481,476746.1264,497577.4701,507821.4695,502995.4193,475679.9967,452885.609,470624.3631,455553.0832,521025.252,475174.34,444083.00,478013.11,471021.46,484408.48,491981.45,494507.50,499650.33,468312.88,489190.56,471071.22,502334.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080803,南投縣,中寮鄉,424091.84,382326.36,426807.52,418652.70,473556.29,499231.04,522478.26,521519.90,482671.63,473611.78,400746.49,309183.52,281743.6296,250353.4529,304388.2849,288758.177,335474.3755,356116.1826,359813.9383,332977.8532,316777.982,317629.5306,282889.3863,294285.757,279745.39,258881.59,289276.75,285290.83,326595.64,345008.17,353742.17,349757.18,327568.83,330160.06,292525.84,283729.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080903,南投縣,魚池鄉,628585.82,571545.00,650670.29,639426.37,685404.71,704665.28,734121.36,729025.99,709735.27,734095.13,671280.27,561384.48,513333.6596,459044.2681,565118.4888,520154.7581,556249.445,566095.4887,614934.1671,559956.0704,546876.613,540383.2551,518591.856,558669.696,509692.89,474681.33,537062.85,513908.85,541527.63,548437.78,604557.31,588173.22,565505.63,561701.45,536257.37,538628.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080904,南投縣,魚池鄉,455024.31,420456.88,485714.23,472582.02,504911.31,494552.20,520556.48,519827.78,498858.83,500573.63,441157.46,378699.03,334201.0287,296992.9568,363709.9224,339199.8195,367967.6493,378904.8593,398322.5514,371058.1705,352690.1365,353626.6012,336085.8609,379680.7757,331830.74,307109.84,345653.33,335126.78,358228.94,367086.02,391600.96,389756.43,364704.31,367577.22,347534.42,366060.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081001,南投縣,國姓鄉,499404.20,440543.50,454530.53,445510.84,478684.15,485340.19,524784.00,531698.30,512177.48,521044.50,496874.39,405610.37,290038.3894,254116.6519,308154.4483,300507.6927,328089.3827,338648.6433,356335.7549,329387.6497,306409.4497,313668.6191,286088.3457,325999.9076,287981.32,262772.98,292855.94,296899.26,319406.10,328085.48,350322.68,345986.06,316847.10,326042.89,295833.77,314305.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081003,南投縣,國姓鄉,486661.68,437192.68,487172.94,489480.19,528367.70,562568.11,600491.43,590978.05,564992.54,545122.91,487123.78,431934.63,424308.608,345727.6687,444996.6813,417188.997,491005.3305,488025.2745,572496.3803,477024.1239,491849.5464,448874.3252,428208.9058,458404.7691,421299.24,357504.67,422904.56,412179.48,478010.28,472802.74,562835.65,501062.19,508604.10,466582.48,442795.58,441960.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081007,南投縣,國姓鄉,270220.91,243194.47,261454.67,248463.26,264423.77,264797.91,275155.09,278264.05,262221.46,267213.76,212450.83,173079.77,166442.2356,147113.8082,179356.0672,172185.1731,186458.2329,190016.5147,189528.7899,178184.2016,173353.5959,179141.6374,170809.6344,188783.1523,165261.76,152125.15,170451.83,170117.61,181523.39,184089.50,186330.54,187163.21,179258.78,186208.80,176628.16,182011.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081105,南投縣,水里鄉,529254.05,480821.96,541490.55,532664.65,574679.19,605030.20,634010.49,646533.63,615385.77,569574.72,537670.41,450756.18,494994.7829,388038.4285,520361.5967,441781.205,543210.1235,524600.5131,622821.4734,496562.0063,571216.7415,434034.5561,496033.6572,467822.3082,491484.08,401256.72,494527.94,436476.39,528833.41,508237.12,612311.52,521584.62,590674.89,451157.28,512930.74,451040.43,0,4,0,0,30,0,0,67,0,0,2245,0,0,16.8,0,
A100081305,南投縣,仁愛鄉,324208.28,280717.73,297573.91,291233.63,304479.13,289058.73,300743.85,299250.15,293016.01,294664.47,303658.58,323092.64,322587.4102,272994.2868,322650.9244,296077.1719,313438.1398,300824.7567,320110.147,297345.8511,304032.267,303993.9367,309644.3063,340831.2215,320299.49,282293.67,306632.73,292521.94,305142.62,291441.40,314708.37,312329.62,314388.94,315986.54,320192.15,328604.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A650010001,新北市,板橋區,487640.45,475962.29,466342.78,533140.66,628810.18,696916.88,827595.30,848819.63,563865.09,618543.66,429160.00,493536.78,456991.9817,433538.8447,475976.3343,508681.4389,672925.8267,720731.2017,831142.5076,795914.9563,538617.7269,583348.1057,424485.4143,442606.7057,453750.81,448307.08,452346.21,502573.30,655116.03,698250.08,817117.19,836022.48,556965.41,606361.27,438945.25,426729.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
